"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"symbol"
"ENSG00000143257"	1098.99489435649	-6.2142795852923	0.305423863438281	2.22482882007078e-105	4.25476263550336e-101	"NR1I3"
"ENSG00000135423"	2338.75551369136	-7.12839458969034	0.363353321363493	7.49973530763608e-103	7.17124690116162e-99	"GLS2"
"ENSG00000146233"	524.284081209129	-5.81802815642871	0.288144288971404	1.14312656222705e-99	7.28705079201002e-96	"CYP39A1"
"ENSG00000072080"	1383.04015067595	-6.70876476702743	0.355089584211776	2.37542529891403e-94	1.1356908354108e-90	"SPP2"
"ENSG00000140505"	5239.93785370966	-8.19877614106272	0.463275125602425	4.16825484806519e-93	1.59427411428797e-89	"CYP1A2"
"ENSG00000141338"	510.223731091674	-4.06638555961623	0.207164175031968	5.45953189170651e-91	1.74013479828325e-87	"ABCA8"
"ENSG00000255974"	11319.4137411477	-9.27471111138713	0.565382201875176	4.30606367099338e-90	1.17641659491539e-86	"CYP2A6"
"ENSG00000170509"	4852.33506944006	-7.54849671722442	0.450830434724434	2.44803074136663e-85	5.85201748723694e-82	"HSD17B13"
"ENSG00000159650"	1312.4013847569	-8.51565675206038	0.505169262188043	7.9805140685663e-85	1.6957705671918e-81	"UROC1"
"ENSG00000172425"	1083.68793858109	-8.07862761527746	0.493802694155515	1.13130009565237e-82	2.16349830292559e-79	"TTC36"
"ENSG00000241399"	2695.57856153965	-3.93434457778176	0.214980042259573	9.17907155818373e-81	1.59582331344278e-77	"CD302"
"ENSG00000122787"	2997.11371006897	-8.05499476045184	0.506077861217962	4.07140571941363e-80	6.48846358150552e-77	"AKR1D1"
"ENSG00000166183"	997.656011184054	-8.0554667231911	0.498148969658908	1.18035468453534e-79	1.73639253746568e-76	"ASPG"
"ENSG00000083807"	6374.71520132227	-5.3710094122221	0.305438524797668	1.99832945400055e-79	2.72971803416475e-76	"SLC27A5"
"ENSG00000196616"	59051.7267127624	-8.49107733923899	0.546155580975192	1.05737560547088e-78	1.34808340526835e-75	"ADH1B"
"ENSG00000100867"	334.971617510849	-5.72043319426345	0.330057267322203	8.45577406256143e-78	1.01067639482766e-74	"DHRS2"
"ENSG00000117009"	1020.89123361258	-4.75637566716768	0.27020550390435	1.19687743494001e-77	1.34641670975252e-74	"KMO"
"ENSG00000187758"	14681.5287967787	-8.91783252669256	0.603159583114801	1.86590276124625e-77	1.98241802255963e-74	"ADH1A"
"ENSG00000198077"	1180.91822595046	-9.64335967619307	0.627315511339247	1.97975166651378e-77	1.99267215107419e-74	"CYP2A7"
"ENSG00000198099"	27220.6366217197	-9.33104672860192	0.635839609213501	4.10127438126452e-77	3.92163856336514e-74	"ADH4"
"ENSG00000109758"	2338.24774320358	-7.61091657123495	0.474288002095954	5.41738481347661e-77	4.93343177013937e-74	"HGFAC"
"ENSG00000105697"	15616.3903591603	-8.37315384584894	0.558185095762576	5.73636790671165e-77	4.98646817490698e-74	"HAMP"
"ENSG00000124713"	3004.34071953456	-7.71917907748387	0.493074878210345	6.66318111534336e-77	5.54029024564463e-74	"GNMT"
"ENSG00000158104"	16558.7146053347	-8.24374171119097	0.560177380262216	3.60318263877018e-75	2.87113603266004e-72	"HPD"
"ENSG00000010379"	129.135487175596	-6.44612881158268	0.368400180655857	3.11977354989162e-74	2.3865019747251e-71	"SLC6A13"
"ENSG00000135929"	6501.16683636569	-4.56853506207761	0.267536812848695	2.05566485589233e-73	1.51202056554172e-70	"CYP27A1"
"ENSG00000111181"	730.575358846794	-5.30896834896987	0.317277799101198	3.83235512699928e-73	2.71444294254571e-70	"SLC6A12"
"ENSG00000091831"	496.734347510121	-5.14217140822284	0.303713627157429	4.51772345889453e-73	3.08560512242497e-70	"ESR1"
"ENSG00000240303"	1329.21321204079	-3.47940101956333	0.199853949373869	1.73622468592715e-72	1.14495037564382e-69	"ACAD11"
"ENSG00000021826"	25677.7180398278	-7.56761108768333	0.500325234589141	1.03747307623369e-71	6.61354503663104e-69	"CPS1"
"ENSG00000175336"	3835.16594383521	-9.01577211351869	0.672963080309706	4.39084775259752e-71	2.70872814260242e-68	"APOF"
"ENSG00000160868"	22155.4906245	-8.84602908889221	0.631300080720156	2.59566365430099e-70	1.55123349140163e-67	"CYP3A4"
"ENSG00000172482"	18326.2765207698	-8.56913390015311	0.605915882467541	6.80115365262156e-70	3.94137158947681e-67	"AGXT"
"ENSG00000116761"	983.918448595065	-5.21269556714546	0.322076684064567	2.82339198709804e-69	1.58807495180185e-66	"CTH"
"ENSG00000073734"	1563.29869895612	-5.24661641364194	0.325264203829127	3.86590966526108e-69	2.05365712329036e-66	"ABCB11"
"ENSG00000121410"	15665.0812565153	-6.86467009711419	0.45461947625391	4.38149260203524e-69	2.26463958165735e-66	"A1BG"
"ENSG00000103569"	5734.67412020071	-6.1477897072874	0.396155619539317	2.63585886799668e-68	1.32653065767285e-65	"AQP9"
"ENSG00000175003"	7171.21058989699	-8.77085053437381	0.643784347541525	5.41305374478432e-68	2.65433948244245e-65	"SLC22A1"
"ENSG00000067225"	9203.62509742238	3.47685295264438	0.207433505494585	7.35766932294121e-68	3.51770170329819e-65	"PKM"
"ENSG00000181192"	2900.33011467226	-3.05913232723881	0.181225889715994	1.25130231061422e-67	5.83656228980156e-65	"DHTKD1"
"ENSG00000090512"	1354.65303565831	-7.69307665616829	0.523996629607348	2.70673536139535e-67	1.23246683455535e-64	"FETUB"
"ENSG00000198650"	17276.7170880781	-7.63176285796104	0.527059464202588	3.66922046985452e-67	1.63186447129065e-64	"TAT"
"ENSG00000186732"	187.663363765361	-6.60268128178856	0.416581947528813	1.9204090505058e-66	8.34679606406202e-64	"MPPED1"
"ENSG00000104938"	661.776406175854	-7.570109170142	0.520472375277115	7.94208850932269e-66	3.37521112560638e-63	"CLEC4M"
"ENSG00000145708"	1539.57288225122	-6.62270773620786	0.446436094651112	1.38552948455822e-65	5.76018823101988e-63	"CRHBP"
"ENSG00000160339"	732.230831679129	-8.90092618628979	0.642998330756706	3.76661392181622e-65	1.5326111625705e-62	"FCN2"
"ENSG00000123453"	1565.23229276894	-5.06271225928214	0.323634882086649	5.57663054438364e-65	2.22182255272485e-62	"SARDH"
"ENSG00000196177"	6330.80681182893	-4.77631286557302	0.302052874154511	5.77949067826485e-65	2.25565264757422e-62	"ACADSB"
"ENSG00000110436"	833.96650289994	-5.0937210382342	0.327554137983865	1.12624774407055e-64	4.30767237152102e-62	"SLC1A2"
"ENSG00000124253"	15641.3055689374	-8.67172988675017	0.714598882807644	5.21176681719368e-64	1.95431036494141e-61	"PCK1"
"ENSG00000213398"	2120.71264213012	-5.11515340658397	0.326717223200313	1.01102595637964e-63	3.71824238265466e-61	"LCAT"
"ENSG00000214274"	12195.6625530217	-5.62396870777719	0.371279221814922	1.84546797485246e-63	6.65900557567518e-61	"ANG"
"ENSG00000003989"	4470.84399516789	-5.4933438518131	0.365545596825973	2.75837340811917e-63	9.76872834386499e-61	"SLC7A2"
"ENSG00000113790"	3712.19028151076	-4.84306421043808	0.314681331314883	1.39196857243475e-62	4.84000126895312e-60	"EHHADH"
"ENSG00000151790"	4649.56586195279	-6.04665609443396	0.411249892854921	1.54504360657637e-62	5.27632391645831e-60	"TDO2"
"ENSG00000172831"	6366.83085106853	-3.93032297709103	0.248617519758126	2.63300972660641e-62	8.83397859853e-60	"CES2"
"ENSG00000174992"	352.663042069888	-6.39840638260139	0.429932501468615	3.69857715314772e-62	1.21951016339305e-59	"ZG16"
"ENSG00000025423"	7404.42742800458	-7.46433699021601	0.546190625012135	7.73388975141517e-62	2.50682894247566e-59	"HSD17B6"
"ENSG00000145192"	39324.7384767209	-8.62652572252765	0.692217989312894	2.49373272652224e-61	7.94835744366854e-59	"AHSG"
"ENSG00000118520"	7924.94207323453	-8.4549040176337	0.666847433450773	2.9745633901966e-61	9.32550004493767e-59	"ARG1"
"ENSG00000160323"	209.877863217841	-3.43406218541578	0.21507759408053	5.67879998026845e-61	1.73208106493655e-58	"ADAMTS13"
"ENSG00000163687"	2439.19331495204	-7.17383882832455	0.534207808862172	5.70597715389054e-61	1.73208106493655e-58	"DNASE1L3"
"ENSG00000145826"	1336.16111561263	-8.25137079134594	0.628188138206971	6.87099823350751e-61	2.05314015964996e-58	"LECT2"
